"","UUID","Binomial","hwi","range_size","diet","mean_adult_body_mass_g","BodySize","LifeSpan","mean_longevity_y","TrophicLevel"
"36","b5f60fed-e290-4d46-8862-16cd58544503","Podiceps_auritus",42.1535838,1795,"vertebrates",420.5833333,0.0408333333300971,13,6.458333333,3
"37","981a5e87-4067-4e6a-87f5-b8351301b875","Pinicola_enucleator",28.80459559,1776,"omnivore",57,0.00553398058252427,9.8,9.725,2
"38","eab16147-d63c-49c0-b371-b504937aea6e","Morus_bassanus",62.10858064,84,"vertebrates",2999.5,0.29121359223301,37.417,25.33333333,3
"39","067e8350-e52e-4645-a9e9-8fbaf55c99cd","Mergus_serrator",48.84826923,3051,"vertebrates",1042.583333,0.101221682815534,21.33333333,9.331666667,3
"40","768473eb-f6d5-4f71-ae01-1857e8d0f1a5","Limnodromus_griseus",50.33148361,303,"invertebrates",110.375,0.0107160194174757,13.3,10.38333333,3
"41","fe2b0a0d-170a-475d-9524-a50f2ee1be80","Ixobrychus_exilis",29.01242306,986,"vertebrates",86.3,0.00837864077669903,NA,NA,3
"42","521a2ab1-b6f6-4fa9-b4a9-eca96917d318","Gavia_stellata",47.54076882,1971,"vertebrates",1603,0.155631067961165,23.7,23.58333333,3
"43","2b29ddd0-ad8f-4459-8bfd-0dd4e6deca55","Falco_mexicanus",50.50870124,390,"vertebrates",754.5,0.073252427184466,20,13,3
"44","ec5b675e-6b41-426f-9ece-a9f154633358","Falco_columbarius",48.89752575,2842,"vertebrates",187.575,0.0182111650485437,16,12.5,3
"45","9643b026-54a2-4467-a1df-7e4db406aab6","Euphagus_carolinus",28.16764035,1009,"omnivore",60.4,0.00586407766990291,8.8,8.8,2
"46","b61e7b89-6125-45f9-aee6-11d727338575","Cygnus_buccinator",42.68620422,253,"plants",10300,1,32.5,26.5,1
"47","10289063-0fb1-432f-9cec-74036650aee0","Corvus_caurinus",37.85588284,73,"omnivore",295.75,0.0287135922330097,16.75,16.68333333,2
"48","408bb051-aa32-4e40-92f7-4da722c6923f","Cepphus_grylle",43.15813153,721,"vertebrates",390.5,0.0379126213592233,29.91666667,22.95,3
"49","3c882f84-3720-4af7-9dcb-9a9c77e5f731","Calidris_minutilla",37.74246392,1535,"invertebrates",23.45,0.00227669902912621,16,16,3
"50","358584bc-cefe-4a85-9fa0-0e64016216a0","Bombycilla_garrulus",35.77119506,1371,"fruit",54.45,0.00528640776699029,13.5,5.833333333,1
"51","f70c1def-a3a1-44e6-84b8-23f9e672ee3b","Aythya_collaris",48.20563347,978,"plants",730,0.070873786407767,20.41666667,20.4,1
"52","6169ed73-843a-4ef8-a369-19706b1115e4","Aythya_affinis",50.98702706,1107,"invertebrates",788.5,0.0765533980582524,18.8,18.31666667,3
"53","2fcb75ab-cd65-4935-a0bc-c95c2724a932","Ardea_alba",25.69595542,5198,"vertebrates",873.5,0.0848058252427185,22.834,22.815,3
"54","892b86ff-8c24-4c8b-aeea-c99c04224860","Archilochus_alexandri",64.36664329,431,"nectar",3.45,0.00033495145631068,11,10.54166667,1
"55","ff3e062d-3c03-40e7-b62e-d15964a2fa5e","Anas_rubripes",51.36797724,458,"omnivore",1153.666667,0.112006472524272,29.1,26.41666667,2
"56","c7208bff-ec01-42d8-93de-35e5e56542a7","Troglodytes_troglodytes",12.40553703,2503,"invertebrates",9.225,0.000895631067961165,7,5.833333333,3
"57",NA,"Glaucidium_gnoma",26.53368794,235,"vertebrates",NA,NA,NA,NA,3
"58","3bb0ab13-bfda-4d5d-90b7-8550c2fde59f","Catharus_bicknelli",28.5987121,36,"invertebrates",29.65,0.00287864077669903,11.91666667,7.34,3
"59","38e3d482-5e91-46ba-bf59-b02787200a8f","Zenaida_macroura",35.14090075,1150,"seeds",119,0.0115533980582524,31.33333333,19.33333333,1
"60","ac2848b6-7ecb-4c48-9cd6-b70dff43ddf0","Xanthocephalus_xanthocephalus",26.9955003,492,"seeds",72.5,0.00703883495145631,18,11.67,1
"61","6081aba4-e19e-439a-b3d3-e25d79885993","Vireo_philadelphicus",26.64019652,659,"invertebrates",12.025,0.00116747572815534,9.833333333,8.833333333,3
"62","c27190bc-ee0c-4fdb-93c5-b5cc48ec754a","Vireo_olivaceus",24.07676159,1366,"invertebrates",16.85,0.00163592233009709,10.2,10,3
"63","200a58c5-9d31-4797-a664-a308421a6ff2","Vireo_gilvus",23.94848331,1120,"invertebrates",13.0975,0.00127160194174757,13.1,13.1,3
"64","a16bdd84-77ab-49e0-9bb6-c718a4c57ded","Vireo_flavifrons",34.10268854,395,"invertebrates",18,0.00174757281553398,6.1,6.1,3
"65","7601c10e-a479-4458-884c-5d5c17bc49d9","Vireo_cassinii",26.52762279,351,"invertebrates",15.325,0.0014878640776699,7.417,7.416666667,3
"66","6d6c42c6-a3c8-40b9-8bca-de42a3bd031a","Tyrannus_verticalis",33.1752422,474,"invertebrates",39.6,0.00384466019417476,6.916666667,6.9,3
"67","951354a4-7f3d-4e43-bca9-6a38fd7dbd33","Tympanuchus_phasianellus",39.61627015,625,"plants",851,0.082621359223301,7.5,6.316666667,1
"68","ddd8ed64-ec2d-4996-893c-ded932753449","Tringa_semipalmata",47.61371616,251,"invertebrates",NA,NA,NA,NA,3
"69","bf5c6d9f-4e9a-494d-9cdd-89c7db45d8fc","Tringa_flavipes",52.77177403,1424,"invertebrates",81.7,0.00793203883495146,4.8,4.75,3
"70","acb3fe2a-5547-4817-8b52-2e82761495c8","Thryomanes_bewickii",13.76655823,398,"invertebrates",9.9,0.000961165048543689,8,8,3
"71","d46ec179-1c3d-49de-97a7-90c40b72fca2","Tachycineta_thalassina",52.84233302,604,"invertebrates",14.15,0.00137378640776699,9.083333333,6.8,3
"72","051aab99-57b0-4bfd-871a-9a767fcc388f","Sturnella_neglecta",27.80491657,688,"invertebrates",97.7,0.00948543689320388,10,10,3
"73","2b63c148-2f8b-4ffa-88aa-28d4f8309167","Sturnella_magna",24.80057457,865,"invertebrates",91.855,0.00891796116504854,12.6,11.66666667,3
"74","f3a26720-e2ef-43b1-baad-f4c1430df70d","Stelgidopteryx_serripennis",50.91307202,1008,"invertebrates",15.8,0.00153398058252427,5.916666667,5.9,3
"75","fe8b2c5f-f646-4c87-a308-9bdb3362769c","Spizella_pusilla",16.71089323,442,"seeds",12.8,0.00124271844660194,10.33333333,8.8,1
"76","3cf43498-658d-493e-a5c4-691692f4fa1f","Spizella_pallida",18.58062976,358,"seeds",11.7,0.00113592233009709,6.916666667,6,1
"77","6640b476-fcb0-4ff3-ad90-c5995021f3d9","Sitta_pygmaea",17.98946348,288,"invertebrates",10.6,0.00102912621359223,8.2,8.2,3
