"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"308","Rhodostethia_rosea",60.15631223,"invertebrates",187,NA,NA,"oceans"
"309","Grus_americana",42.71799088,"vertebrates",6850,40,30,"wetlands"
"310","Brachyramphus_marmoratus",58.41904467,"vertebrates",222,10,8.6,"forest"
"311","Centrocercus_urophasianus",38.69109716,"plants",1930,7,7,"grasslands"
"312","Cepphus_columba",40.07977971,"vertebrates",487,14,12.08333333,"oceans"
"313","Cerorhinca_monocerata",51.99353529,"vertebrates",505,28.25,7.4,"oceans"
"314","Charadrius_melodus",54.45518179,"invertebrates",54.40833333,14,14,"shore"
"315","Larus_hyperboreus",53.05431223,"vertebrates",1605.5,21.08333333,21,"oceans"
"316","Phalaropus_fulicarius",50.04677755,"invertebrates",55.9,6.083333333,6.083333333,"shore"
"317","Somateria_spectabilis",48.91532665,"invertebrates",1650,18.91666667,18.9,"oceans"
"318","Gavia_pacifica",47.8343724,"vertebrates",2665,28,28,"wetlands"
"319","Larus_glaucescens",53.0749167,"vertebrates",1010,32,28.375,"oceans"
"320","Oceanodroma_furcata",60.7805424,"invertebrates",57.1,30,11.5,"oceans"
"321","Phalacrocorax_penicillatus",37.16341308,"vertebrates",2252,18,9.416666667,"oceans"
"322","Poecile_atricapillus",19.60140947,"invertebrates",10.8,12.41666667,12.4,"forest"
"323","Protonotaria_citrea",29.91979441,"invertebrates",14.95,8.1,6.491666667,"forest"
"324","Sialia_sialis",32.76980287,"invertebrates",29.65,10.5,8,"other"
"325","Sterna_hirundo",67.25783358,"vertebrates",124,33,33,"wetlands+oceans"
"326","Tachycineta_bicolor",54.34045018,"invertebrates",20.8,12.1,11,"lakes/ponds"
"327","Troglodytes_aedon",13.69709037,"invertebrates",11,9,7.1,"other"
"328","Uria_aalge",57.50631211,"vertebrates",991.5,42.83333333,29.58333333,"oceans"
