"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"72","Sturnella_neglecta",27.80491657,"invertebrates",97.7,10,10,"grasslands"
"73","Sturnella_magna",24.80057457,"invertebrates",91.855,12.6,11.66666667,"grasslands"
"74","Stelgidopteryx_serripennis",50.91307202,"invertebrates",15.8,5.916666667,5.9,"other"
"75","Spizella_pusilla",16.71089323,"seeds",12.8,10.33333333,8.8,"other"
"76","Spizella_pallida",18.58062976,"seeds",11.7,6.916666667,6,"other"
"77","Sitta_pygmaea",17.98946348,"invertebrates",10.6,8.2,8.2,"forest"
"78","Sitta_carolinensis",31.19303895,"invertebrates",21,9.834,9.833333333,"forest"
"79","Sitta_canadensis",26.15590175,"omnivore",10.35,7.5,7.5,"forest"
"80","Sialia_currucoides",36.60191077,"invertebrates",29.6,9,9,"other"
"81","Selasphorus_rufus",66.98648252,"nectar",3.5,8.916666667,8.9,"forest"
"82","Seiurus_aurocapilla",24.59156882,"invertebrates",19.4,11,9,"forest"
"83","Sayornis_saya",25.60560193,"invertebrates",21,5,5,"other"
"84","Riparia_riparia",48.76621436,"invertebrates",13.4,10,8,"lakes/ponds"
"85","Regulus_calendula",21.99060368,"invertebrates",6.575,5.6,5.6,"forest"
"86","Recurvirostra_americana",47.79194265,"invertebrates",309.25,15,9.583333333,"shore"
"87","Quiscalus_quiscula",25.32908046,"omnivore",111,23.1,22.9,"other"
"88","Psaltriparus_minimus",19.4245801,"invertebrates",5.3,9.083333333,8.4,NA
"89","Progne_subis",51.29183369,"invertebrates",51.45,13.8,13.8,"lakes/ponds"
"90","Porzana_carolina",33.34927211,"omnivore",79.65,NA,NA,"wetlands"
"91","Pooecetes_gramineus",23.84896143,"omnivore",25.15,7.9,7.491666667,"grasslands"
"92","Poecile_rufescens",17.79640335,"invertebrates",9.7,9.5,8.4,"forest"
"93","Poecile_gambeli",19.19684665,"invertebrates",11.5185,10.1,10.1,"forest"
"94","Podilymbus_podiceps",34.00514456,"invertebrates",440,NA,NA,"wetlands"
"95","Piranga_olivacea",32.32319079,"invertebrates",28.825,11.91666667,10.1,"forest"
"96","Piranga_ludoviciana",28.32087177,"invertebrates",30,15.3,7.9,"forest"
"97","Pipilo_maculatus",13.4809793,"invertebrates",39.85,12.3,11,"other"
"98","Pheucticus_melanocephalus",23.80739414,"invertebrates",45.55,25,11.91666667,"forest"
"99","Pheucticus_ludovicianus",27.59665447,"invertebrates",45.1,24,7.3,"forest"
"100","Passerina_cyanea",22.61699306,"seeds",14.7,11,11,"other"
"101","Passerina_amoena",23.12871457,"omnivore",15.15,9.916666667,8.9,"other"
"102","Passerella_iliaca",26.07694269,"omnivore",33.8,10.33333333,10,"forest"
"103","Passerculus_sandwichensis",24.106621,"omnivore",20.125,6.916666667,6.8583333335,"grasslands"
"104","Pandion_haliaetus",42.15807269,"vertebrates",1527.5,32,25,"other"
