Binomial,Class,Order,Family,body_mass_g,SVL_mm,longevity_years,diet,clutch_size_n,offspring_size_mm,age_maturity_years,lpi
Ascaphus_montanus,Amphibians - Amphibiens,Anura,Ascaphidae,NA,56,20,carnivore,61.5,4.5,7.5,not_lpi
Ascaphus_truei,Amphibians - Amphibiens,Anura,Ascaphidae,NA,50,20,carnivore,62,5.5,2.5,lpi
Anaxyrus_americanus,Amphibians - Amphibiens,Anura,Bufonidae,118.7,111,36,omnivore,11000,1.5,3,lpi
Anaxyrus_boreas,Amphibians - Amphibiens,Anura,Bufonidae,NA,125,11.5,omnivore,10856.5,1.725,5,lpi
Anaxyrus_cognatus,Amphibians - Amphibiens,Anura,Bufonidae,25,114,10,omnivore,23198,1.15,3.5,not_lpi
Anaxyrus_fowleri,Amphibians - Amphibiens,Anura,Bufonidae,34.9,95,5,carnivore,5999,3.5,1.5,lpi
Anaxyrus_hemiophrys,Amphibians - Amphibiens,Anura,Bufonidae,NA,83,13.3,NA,4677,1,2.5,lpi
Hyla_chrysoscelis,Amphibians - Amphibiens,Anura,Hylidae,11.2,62,7.8,carnivore,2343,1.3,1.75,not_lpi
Hyla_versicolor,Amphibians - Amphibiens,Anura,Hylidae,7.2,60,7.8,carnivore,1800,1.55,2,lpi
Pseudacris_crucifer,Amphibians - Amphibiens,Anura,Hylidae,4,37,5,NA,468,1.28,3,lpi
Pseudacris_maculata,Amphibians - Amphibiens,Anura,Hylidae,NA,52,6,carnivore,798,1,1.5,lpi
Pseudacris_regilla,Amphibians - Amphibiens,Anura,Hylidae,5.6,50,NA,carnivore,536,1.3,1.5,not_lpi
Pseudacris_triseriata,Amphibians - Amphibiens,Anura,Hylidae,1,39,NA,NA,616,0.975,NA,lpi
Spea_bombifrons,Amphibians - Amphibiens,Anura,Pelobatidae,NA,64,NA,carnivore,381,NA,NA,not_lpi
Spea_intermontana,Amphibians - Amphibiens,Anura,Pelobatidae,NA,64,20,carnivore,431,NA,NA,not_lpi
Lithobates_catesbeianus,Amphibians - Amphibiens,Anura,Ranidae,467.8,203,16,omnivore,16750,2.1,3,lpi
Lithobates_clamitans,Amphibians - Amphibiens,Anura,Ranidae,47.9,87,10,NA,2882.5,1.5,2,lpi
