"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"72","Pluvialis_squatarola",58.97676136,"invertebrates",224,25.58333333,20.3,"shore"
"73","Haematopus_bachmani",42.21663828,"invertebrates",555,43.33333333,16,"shore"
"74","Haematopus_palliatus",48.0467448,"invertebrates",560,43.33333333,26.5,"shore"
"75","Chlidonias_niger",62.14386646,"invertebrates",63,21,17.2,"wetlands"
"76","Chroicocephalus_philadelphia",59.00875348,"invertebrates",191,NA,NA,"wetlands"
"77","Chroicocephalus_ridibundus",58.81421939,"invertebrates",271.6666667,63,31.33333333,"oceans"
"78","Hydrocoloeus_minutus",57.80766025,"invertebrates",NA,NA,NA,"wetlands"
"79","Hydroprogne_caspia",66.22319893,"vertebrates",654.6666667,30,29.79166667,"wetlands"
"80","Larus_argentatus",55.26005726,"vertebrates",1085,49,33.4165,"oceans"
"81","Larus_californicus",58.42176773,"omnivore",670.25,30,28,"wetlands"
"82","Larus_canus",60.7418203,"vertebrates",415.75,33.7,27.91833333,"wetlands"
"83","Larus_delawarensis",56.24865042,"omnivore",518.5,31.8,28.58333333,"wetlands"
"84","Larus_fuscus",58.38328788,"vertebrates",1010.25,49,32.75,"oceans"
"85","Larus_glaucescens",53.0749167,"vertebrates",1010,32,28.375,"oceans"
"86","Larus_glaucoides",54.47070658,"vertebrates",863,33,33,NA
"87","Larus_heermanni",55.23634213,"vertebrates",500,24,24,"oceans"
"88","Larus_hyperboreus",53.05431223,"vertebrates",1605.5,21.08333333,21,"oceans"
"89","Larus_marinus",52.20025778,"omnivore",1658.5,29.16666667,25.74983333,"oceans"
"90","Larus_occidentalis",50.99032076,"vertebrates",931.5,33.91666667,27.8,"oceans"
"91","Larus_thayeri",55.18987831,"omnivore",1012.625,49,33,"wetlands+oceans"
"92","Leucophaeus_atricilla",57.32762564,"omnivore",NA,NA,NA,"oceans"
"93","Leucophaeus_pipixcan",55.6715095,"omnivore",280,9.416666667,9.4,"wetlands"
"94","Pagophila_eburnea",60.9802263,"omnivore",550,23.91666667,17,"oceans"
"95","Rhodostethia_rosea",60.15631223,"invertebrates",187,NA,NA,"oceans"
"96","Rissa_tridactyla",60.57864583,"omnivore",407.75,28.5,23.08333333,"oceans"
"97","Sterna_dougallii",69.12086979,"vertebrates",112,25.7,23.83333333,"oceans"
"98","Sterna_forsteri",68.68518507,"vertebrates",150,15.83333333,12,"wetlands"
"99","Sterna_hirundo",67.25783358,"vertebrates",124,33,33,"wetlands+oceans"
"100","Sterna_paradisaea",69.62170424,"vertebrates",110,34,34,"wetlands+oceans"
"101","Xema_sabini",59.3717418,"omnivore",195,8.083333333,8.083333333,"wetlands+oceans"
"102","Himantopus_mexicanus",52.54140337,"invertebrates",169,19.1,10.225,NA
"103","Recurvirostra_americana",47.79194265,"invertebrates",309.25,15,9.583333333,"shore"
"104","Actitis_macularius",47.4805593,"invertebrates",41.85833333,12,12,"shore"
"105","Arenaria_interpres",55.16757708,"invertebrates",135,21.41666667,16.98333333,"shore"
"106","Arenaria_melanocephala",51.04326672,"invertebrates",118.9,NA,NA,"shore"
"107","Bartramia_longicauda",52.82185426,"invertebrates",152.25,8.916666667,7.05,"shore+grasslands"
"108","Calidris_acuminata",54.48026041,"invertebrates",67.7,NA,NA,"shore"
"109","Calidris_alba",52.32785586,"invertebrates",55.55,18.58333333,14.91666667,"shore"
"110","Calidris_alpina",54.34362502,"invertebrates",54.6,28.834,19.75,"shore"
"111","Calidris_bairdii",55.25686631,"invertebrates",39.41666667,NA,NA,"shore"
"112","Calidris_canutus",58.17506877,"invertebrates",137.0666667,26.66666667,16.08333333,"shore"
"113","Calidris_fuscicollis",54.0651637,"invertebrates",44.55,7,7,"shore"
"114","Calidris_himantopus",52.17316585,"invertebrates",57.5,11.1,11.09166667,"shore"
"115","Calidris_maritima",50.50969832,"invertebrates",69.475,20.75,20.35,"shore"
"116","Calidris_mauri",49.00309054,"invertebrates",26.71666667,9.2,9.1835,"shore"
"117","Calidris_melanotos",53.38953783,"invertebrates",85,5.916666667,5.9,"shore"
"118","Calidris_minutilla",37.74246392,"invertebrates",23.45,16,16,"shore"
"119","Calidris_ptilocnemis",49.82517118,"invertebrates",79.65,7.34,7.333333333,"shore"
"120","Calidris_pusilla",54.15753642,"invertebrates",26.36666667,19.3,12.1,"shore"
