"Binomial","Genus","Species","FBname","SpecCode","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","Weight","WeightFemale","MaxWeightRef","Median_T","lcl_T","ucl_T","n_T","Herbivory2","DietTroph","DietSeTroph","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","Troph","seTroph","TrophObserved"
"Eustomias_schmidti","Eustomias","schmidti","Schmidt's dragonfish","11757",4468,NA,NA,21.2000007629395,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.2,0.73,"Tentative trophic level derived from 1 + troph of a single food item",NA,4.19999980926514,0.730000019073486,TRUE
"Evermannella_balbo","Evermannella","balbo","Balbo sabretooth","1796",4478,NA,NA,16.8500003814697,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.2,0.73,"Tentative trophic level derived from 1 + troph of a single food item",NA,4.19999980926514,0.730000019073486,TRUE
"Evermannella_melanoderma","Evermannella","melanoderma","Indian sabertooth","60704",41336,NA,NA,12.7200002670288,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.2,0.73,"Tentative trophic level derived from 1 + troph of a single food item",NA,4.19999980926514,0.730000019073486,TRUE
"Exoglossum_maxillingua","Exoglossum","maxillingua","Cutlips minnow","2754",86798,2,NA,16,"TL",NA,NA,"10.75","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.04,0.33,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.03999996185303,0.330000013113022,TRUE
"Flagellostomias_boureei","Flagellostomias","boureei","Longbarb dragonfish","11763",4468,NA,NA,32.2000007629395,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,4.57999992370605,0.819999992847443,FALSE
"Foetorepus_agassizii","Foetorepus","agassizii","Spotfin dragonet","10187",6941,NA,NA,24.2999992370605,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36999988555908,0.400000005960464,FALSE
"Fundulus_diaphanus","Fundulus","diaphanus","Banded killifish","3190",86798,NA,NA,13,"TL",NA,NA,"6.25","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.3,0.173,"Troph of adults from 3 studies.","42157",3.18,0.37,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.29999995231628,0.172999992966652,TRUE
"Fundulus_heteroclitus","Fundulus","heteroclitus","Mummichog","3192",86798,4,4,15,"TL",NA,NA,"8.899999618530273","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.59,0.48,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.58999991416931,0.479999989271164,TRUE
"Fundulus_notatus","Fundulus","notatus","Blackstripe topminnow","3197",27139,NA,NA,8,"TL",NA,NA,"5.800000190734863","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.08,0.4,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.07999992370605,0.400000005960464,TRUE
"Gadella_imberbis","Gadella","imberbis","Beardless codling","2010",1371,NA,NA,23,"TL",NA,NA,"18","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.03,0.17,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.02999997138977,0.170000001788139,TRUE
"Gadomus_longifilis","Gadomus","longifilis","Treadfin grenadier","16283",3587,NA,NA,30,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.17,0.3,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.17000007629395,0.300000011920929,TRUE
"Gadus_macrocephalus","Gadus","macrocephalus","Pacific cod","308",1371,25,NA,119,"TL",NA,NA,NA,NA,NA,NA,22700,NA,27436,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.97,0.1695,"Troph of juv./adults from 9 studies., Troph of juv./adults from 5 studies.","39850, 28073",4.47,1.07,"Trophic level estimated from a number of food items using a randomized resampling routine., Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.77999997138977,0.189999997615814,TRUE
