"","UUID","Binomial","BodySize","TrophicLevel","amniota_gestation_d","LifeSpan"
"53","f2163bba-3ad5-4f7a-a320-54dd66195105","Pagophilus_groenlandicus",0.000696052631578947,3,242.9,42
"54","ae25ce9a-2484-43e2-b48a-df96ea469f00","Phoca_vitulina",0.000526315789473684,3,253.5703,47.6
"55","323355a1-ad2a-4915-a470-d4a19c515d29","Pusa_hispida",0.000373492631578947,3,251,46
"56","1605cc8e-6908-4ace-b10f-4548f7ff6ce9","Mustela_erminea",6.28315789473684e-07,3,43.26174,12.5
"57","7650fb73-aeee-4b81-8998-477277ff0ac5","Mustela_frenata",7.73684210526316e-07,3,24.95752,8.8
"58","ed6143bd-ae99-4550-a658-acb951dee651","Gulo_gulo",8.95397894736842e-05,2,51.4381075,19.5
"59","d87db95b-134d-4c9b-b022-b392b7255d6c","Martes_americana",6.57894736842105e-06,2,28,19
"60","e6170506-daa2-45dd-818d-0e82b3606241","Enhydra_lutris",0.000123684210526316,3,216.0956,30
"61","dcd83ebe-7885-49ff-b598-77ba971fb86a","Lontra_canadensis",4.25653684210526e-05,3,61.17636,27
"62","b81ce0c3-14e4-485c-b739-c01df90e9233","Ursus_americanus",0.000526049263157895,2,91.008125,34
"63","0eae0823-05ee-46d9-8ef3-9dbe0376e963","Ursus_arctos",0.000950107473684211,2,103,50
"64","84557827-41ed-4272-8316-abd3fa308e61","Ursus_maritimus",0.00204605452631579,3,147.4159375,45
"65","e313bc5e-f318-4c2d-9a90-1ed0357e6889","Eumetopias_jubatus",0.00163157894736842,3,308.05,32.8
"66","6e5c332a-8f27-4ce5-afb1-bc13ba4b2430","Mephitis_mephitis",1.09737894736842e-05,2,63,13.9
"67","b5bb0a22-70d0-486e-8112-1899586b0426","Procyon_lotor",2.90787894736842e-05,2,63.91434,21
"68","8d020f9c-e7ba-46bc-b9b6-33b6380a56eb","Oreamnos_americanus",0.000381580684210526,1,182.62,20.8
"69","0d6d3044-cefe-4d31-8d49-635d25ecac5d","Ovis_canadensis",0.000392867789473684,1,180,24
"70","8ac28e9f-e7c9-4c3e-9291-cca135176481","Ovis_dalli",0.000292898,1,175.245,24
"71","1f72a9d5-1e8a-4b07-bad5-f6054f41e0ec","Alces_americanus",0.00284979178947368,1,241.978125,27
"72","b02c6537-0155-469a-bc1a-9f4b9aaf46e6","Odocoileus_hemionus",0.000285329315789474,1,207,22
"73","442cf4f8-9b91-4785-999c-68b04b52e2a9","Odocoileus_virginianus",0.000292150315789474,1,201.39,23
"74","bbbc3caf-add2-48c0-9522-d829dfd10eea","Rangifer_tarandus",0.000452810421052632,1,222.5,21.7
"75","cdb3b4be-106d-4227-bf58-54b9fcdeb286","Antilocapra_americana",0.000242541684210526,1,247.44468,15.5
"76","8167cd36-ef1a-4f2f-8326-a5105852c50e","Balaena_mysticetus",0.526315789473684,3,379.9,211
"77","035308ac-ff1b-41fd-a72a-220be16a6489","Eubalaena_glacialis",0.121052631578947,3,347.98,67
"78","55d14063-e862-4f5f-8c3a-15cfbc78576d","Balaenoptera_physalus",0.368421052631579,3,342,116
"79","5b368d0b-22cc-464e-8f80-d65940eb7faa","Balaenoptera_acutorostrata",0.0526315789473684,3,306.6127,50
"80","ea1eaea7-9b19-4f37-9ce3-d694bbe24188","Balaenoptera_musculus",1,3,326.97,110
"81","1acda098-be1f-4cac-8fc9-2689460f6d25","Megaptera_novaeangliae",0.157894736842105,3,348.83674,95
"82","71d28ded-dbbc-455a-bf1b-e2641f1497f6","Eschrichtius_robustus",0.15,3,379.9,77
"83","6f23e03a-4048-4d4a-bed1-5d6c2a6b1003","Delphinus_delphis",0.000421052631578947,3,296.89,29.025
"84","cea7ddca-7774-4190-ac61-e6621b0b25f7","Globicephala_melas",0.00421052631578947,3,453.4514,60
"85","104508ae-9669-4b20-ba39-2fe3a8664654","Lagenorhynchus_obliquidens",0.000631578947368421,3,319.01,46
"86","e53a895b-f6fc-4fbf-b036-109e0d8e232b","Lagenorhynchus_acutus",0.000957894736842105,3,319.37,27
"87","af531180-b5b4-41af-b5d5-b1b449d2214b","Orcinus_orca",0.0226315789473684,3,454.72102,100
"88","4010905f-0c9a-4cd7-8a3a-c8b9feefc66d","Delphinapterus_leucas",0.00715789473684211,3,409.05984,40
"89","6e49ed14-e33c-4401-997a-9fe3ddd3c7b0","Monodon_monoceros",0.00473684210526316,3,450,50
"90","73d78f63-f8db-440e-b7ab-97c39a80244c","Phocoena_phocoena",0.000276315789473684,3,307.013125,20.4
"91","bdd270d9-7cd0-4b4a-a717-05c5330c0676","Phocoenoides_dalli",0.000539473684210526,3,346.74,22
"92","556189d4-8e20-451a-88ab-c8e5efb58c3a","Hyperoodon_ampullatus",0.0305263157894737,3,365,37
"93","450c0839-44be-4696-981c-0fd9509c5be4","Mesoplodon_bidens",0.0178947368421053,3,365.232,NA
"94",NA,"Erethizon_dorsatum",3.72912105263158e-05,1,NA,NA
