IUCN_ID_NO,LPI,CommonName,ScientificName,BinomialName,RedListCategory,Area_km2,Clip_area_km2,Proportion_CAN,Range_CAN
22693195,Y,Long-billed Curlew,Numenius americanus,Numenius_americanus,Least Concern,3937742.914,355149.5818,0.090191,9.019116
22693203,Y,Upland Sandpiper,Bartramia longicauda,Bartramia_longicauda,Least Concern,21247619.57,973706.4789,0.045827,4.582661
22693231,Y,Greater Yellowlegs,Tringa melanoleuca,Tringa_melanoleuca,Least Concern,34094264.61,5408981.206,0.158648,15.864783
22693235,Y,Lesser Yellowlegs,Tringa flavipes,Tringa_flavipes,Least Concern,35216213.18,6147528.7,0.174565,17.45653
22693239,Y,Solitary Sandpiper,Tringa solitaria,Tringa_solitaria,Least Concern,29410609.56,5690913.541,0.193499,19.349866
22693277,Y,Spotted Sandpiper,Actitis macularius,Actitis_macularius,Least Concern,34162344.97,6956220.219,0.203622,20.362245
22693305,Y,Wandering Tattler,Tringa incana,Tringa_incana,Least Concern,2866493.706,551687.8135,0.192461,19.246085
22693319,Y,Willet,Tringa semipalmata,Tringa_semipalmata,Least Concern,3928191.382,629847.0962,0.16034,16.034023
22693336,Y,Ruddy Turnstone,Arenaria interpres,Arenaria_interpres,Least Concern,13076135.07,1461818.342,0.111793,11.179285
22693341,Y,Black Turnstone,Arenaria melanocephala,Arenaria_melanocephala,Least Concern,1072492.561,186808.7002,0.174182,17.418181
22693344,Y,Short-billed Dowitcher,Limnodromus griseus,Limnodromus_griseus,Least Concern,4633013.413,2594155.214,0.559928,55.992828
22693348,Y,Long-billed Dowitcher,Limnodromus scolopaceus,Limnodromus_scolopaceus,Least Concern,10470137.23,2480579.315,0.236919,23.691947
22693356,Y,Surfbird,Calidris virgata,Calidris_virgata,Least Concern,2289583.395,427246.629,0.186605,18.660453
22693363,Y,Red Knot,Calidris canutus,Calidris_canutus,Near Threatened,6902037.723,1122733.812,0.162667,16.266701
22693369,Y,Sanderling,Calidris alba,Calidris_alba,Least Concern,13222561.05,1627487.41,0.123084,12.308413
22693373,Y,Semipalmated Sandpiper,Calidris pusilla,Calidris_pusilla,Near Threatened,16117098.62,8250720.257,0.511923,51.192342
22693376,Y,Western Sandpiper,Calidris mauri,Calidris_mauri,Least Concern,4634319.53,45877.26805,0.009899,0.989946
22693396,Y,Least Sandpiper,Calidris minutilla,Calidris_minutilla,Least Concern,25768140.03,7830936.23,0.3039,30.389994
22693399,Y,White-rumped Sandpiper,Calidris fuscicollis,Calidris_fuscicollis,Least Concern,27076985.83,6728041.384,0.248478,24.847823
22693404,Y,Baird's Sandpiper,Calidris bairdii,Calidris_bairdii,Least Concern,12713939.08,3361967.264,0.264432,26.44316
22693408,Y,Pectoral Sandpiper,Calidris melanotos,Calidris_melanotos,Least Concern,33461911.21,5922749.143,0.177,17.699973
22693420,Y,Purple Sandpiper,Calidris maritima,Calidris_maritima,Least Concern,3299518.844,1582325.872,0.479563,47.956261
22693424,Y,Rock Sandpiper,Calidris ptilocnemis,Calidris_ptilocnemis,Least Concern,977388.991,228975.421,0.234273,23.427256
22693427,Y,Dunlin,Calidris alpina,Calidris_alpina,Least Concern,21937170.39,6305125.433,0.287417,28.741744
22693437,Y,Stilt Sandpiper,Calidris himantopus,Calidris_himantopus,Least Concern,21363288.22,2870063.523,0.134346,13.434559
22693447,Y,Buff-breasted Sandpiper,Calidris subruficollis,Calidris_subruficollis,Near Threatened,11645263.53,1156252.988,0.09929,9.928955
22693472,Y,Wilson's Phalarope,Steganopus tricolor,Steganopus_tricolor,Least Concern,15121814.94,1729703.331,0.114385,11.438464
22693490,Y,Red-necked Phalarope,Phalaropus lobatus,Phalaropus_lobatus,Least Concern,18806232.56,4140097.007,0.220145,22.014494
