Ordnum	Order	OrderRefNo	SortNo	Synonym	AuthorYear	CommonName	BodyShapeI	Marine	Brackish	Freshwater	WaterSalinity	FamCount	SpeciesCount	EtymologyOrder	ClassNum	Class	ClassificationRemark	PhylogenyFamilies	PhylFamOrderRefNo	PhylogenyPostion	PhylPosOrderRefNo	SisterOrder	ComAncestor	ComAncRef1	ComAncRef2	PeriodRange	Period	EpochRange	Epoch	Complete	Remark	CAS_LIN	ZooBank_ID	Entered	DateEntered	Modified	DateModified	Expert	DateChecked	CommonName_German	CommonName_French	CommonName_Italian	CommonName_Spanish	CommonName_Portuguese	CommonName_Dutch	CommonName_Chinese	CommonName_Chinese_u	CommonName_Greek	CommonName_Greek_u	CommonName_Russian_u	CommonName_Russian	CommonName_Swedish	Class_Russian	EtymologyClass	TS
15	Ceratodontiformes	123477	15373	0	NA	Australian lungfishes	elongated	0	0	-1	All Freshwater	3	6	Greek, keras = horn + Greek, odous = tooth, teeth + Latin, forma = shape (Ref. 45335).	11	Dipneusti	NA	NA	NA	NA	NA	Lepidosireniformes	400	30649	30653	early	Devonian	NA	NA	-1	Pectoral and pelvic fins flipperlike; scales large; air bladder (lung) unpaired; larvae without external gills; adults do not estivate.	NA	NA	1	1999-12-11T00:00:00Z	2	1999-12-11T00:00:00Z	NA	NA	Australische Lungenfische	Dipneustes d'Australie	Ceratodontiformi	NA	Peixes pulmonados Australianos	Australische longvissen	NA	NA	NA	NA	&#1088;&#1086;&#1075;&#1086;&#1079;&#1091;&#1073;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	????????????????	NA	&#1083;&#1086;&#1087;&#1072;&#1089;&#1090;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek sark, sarx = flesh + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
54	Cetomimiformes	7463	NA	-1	NA	whalefishes	NA	-1	0	0	all marine	5	33	Greek, ketos = whale, marine monster + Greek, mimos = imitative, imitator + Latin, forma = shape (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  in Stephanoberyciformes.	NA	NA	NA	NA	Beryciformes	70	30652	30649	late	Cretaceous	NA	NA	0	Complete loss of fin spines. The whalefishes have a whale-shaped body; mouth very large and stomach highly distensible; eyes well developed to degenerate; latera line made up of enormous hollow tubes; luminous tissue on body; dorsal and anal fins far back on body and opposite one another; no swim bladder; orbitosphenoid absent; supramaxilla absent or reduced; color usually orange and red on a black body.	NA	NA	1	1999-12-11T00:00:00Z	2	2000-04-27T00:00:00Z	NA	NA	Walköpfige Fische	Poissons-baleines	Cetomimiformi	NA	Peixes-baleia	Walviskopvissen	NA	NA	NA	NA	&#63;&#32;&#1062;&#1077;&#1090;&#1086;&#1084;&#1080;&#1084;&#1080;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	? ????????????????	NA	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
31	Characiformes	7463	11269	0	NA	characins	NA	-1	-1	-1	Mostly Freshwater	24	2187	Greek, charax = a marine fish + Latin, forma = shape (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Characiformes.	NA	NA	NA	NA	Siluriformes	150	30652	30657	late	Jurassic	NA	NA	0	Teeth usually well developed (most are carnivores); adipose fin usually present; body almost always scaled (scales very rarely absent in South American species, e.g., the tetra <i>Gymnocharacinus bergi</i> of Argentina is naked, lacks an adipose fin, and is the most southerly known characiform); probably ctenoid or ctenoidlike scales in some; pelvic fin present (with 5-12 rays); anal fin short to moderately long (fewer than 45 rays); lateral line often decurved, sometimes incomplete; upper jaw usually not truly protractile; pharyngeal teeth usually present, but not usually specialized as in cypriniforms (anostomids have highly modified pharyngeal teeth); barbels absent; branchiostegal rays 3-5; usually 3 postcleithra; first hypural separated from the centrum by a gap in adults (most other primitive teleosts lack such a gap); usually 19 principal caudal fin rays.	NA	NA	1	1999-12-11T00:00:00Z	2	1999-12-15T00:00:00Z	NA	NA	Salmler	Characins	Caraciformi	NA	Caracins	Karperzalmen	NA	NA	NA	NA	&#1093;&#1072;&#1088;&#1072;&#1094;&#1080;&#1085;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	????????????????	laxkarpar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
3	Chimaeriformes	7463	10594	0	NA	chimaeras	elongated	-1	-1	0	All Marine	3	56	Latin, chimaera = monster. 1634 + Latin, forma = shape (Ref. 45335).	3	Holocephali	NA	NA	NA	NA	NA	Hexanchiformes	400	30652	30649	early	Devonian	NA	NA	-1	Dentition consisting of a few large permanent grinding tooth plates; palatoquadrate fused to neurocranium. Two dorsal fins, the first erectile, with short base, and preceded by an erectile spine, the second nonerectile, low, and with a long base; mouth inferior. Internal fertilization; eggs encased in a brown horny capsule. Water for breathing is chiefly taken in through the nostrils. Maximum length about 1.5 m.	NA	NA	1	1999-12-11T00:00:00Z	NA	NA	NA	NA	Seekatzenartige	Chimères	Chimeriformi	NA	Quimeras	Zeekatten	NA	NA	????????????	&#935;&#953;&#956;&#945;&#953;&#961;&#972;&#956;&#959;&#961;&#966;&#945;	&#1093;&#1080;&#1084;&#1077;&#1088;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	??????????????	havsmusartade fiskar	&#1094;&#1077;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086;&#1083;&#1086;&#1074;&#1099;&#1077;&#44;&#32;&#1089;&#1083;&#1080;&#1090;&#1085;&#1086;&#1095;&#1077;&#1088;&#1077;&#1087;&#1085;&#1099;&#1077;	Greek holos = whole + Greek kephale = head. Ref. 45335.	NA
81	Cichliformes	123477	13393	0	NA	cichlids, convict blennies	NA	-1	-1	-1	Mostly Freshwater	2	1745	NA	6	Actinopteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	303	2020-02-19T00:00:00Z	NA	NA	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	Clupeiformes	7463	10954	0	NA	herrings	NA	-1	-1	-1	Marine and Freshwater	7	399	Latin, clupea = sardine +  Latin, forma = shape. 1880 (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Clupeiformes.	NA	NA	NA	NA	Elopiformes	140	30652	30657	early	Cretaceous	NA	NA	-1	Recessus lateralis present (part of the otophysic connection in which various sensory canals merge within a chamber in the otic region of the neurocranium, not known from any other group); parasphenoid teeth absent; no large foramen on the anterior ceratohyal; parietals separated by the supraoccipital; no leptocephalous larvae. Most are plankton feeders, with long and sometimes very numerous gill rakers that serve as straining devices.	NA	NA	1	1999-12-11T00:00:00Z	2	1999-12-14T00:00:00Z	NA	NA	Heringsfische	Anchois, harengs et sardines	Clupeiformi	NA	Sardinhas e arenques	Haringachtigen	NA	NA	????????????	&#922;&#955;&#959;&#965;&#960;&#949;&#972;&#956;&#959;&#961;&#966;&#945;	&#1089;&#1077;&#1083;&#1100;&#1076;&#1077;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	??????????????	sillartade fiskar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
17	Coelacanthiformes	38228	15364	0	NA	coelacanths	fusiform / normal	-1	0	0	All Marine	1	2	Greek, koilos = cavity + Greek, acantha = thorn or prickle, in refernce to hollow, elongated, posterior neural and haemal spines that articulate with the caudal fin rays.	10	Coelacanthi	NA	NA	NA	NA	NA	Ceratodontiformes	400	30649	30653	early	Devonian	NA	NA	-1	Two dorsal fins, each with a single proximal skeletal element; first dorsal fin sail-like, the membrane supported by bony spines or segmented fin-rays; second dorsal fin, anal fin and the paired (pectoral and pelvic) fins with a muscular basal lobe projecting from the body and containing several cartilaginous or bony skeletal elements.  Notochord a well-developed, thick-walled tube filled with fluid in adult (In most other fishes, the notochord is replaced in the developing embryo by bony vertebral centra). 
Contrary to ""conventional wisdom"" the name ""coelacanth"" (meaning ""hollow spine"") is not derived from the hollow notochord which serves as a spinal column for these fishes.  The term was originally published as a generic name for the fossil coelacanths because of the hollow, elongated, posterior neural and haemal spines that articulate with the caudal fin rays.	NA	NA	1	1999-12-11T00:00:00Z	1	1999-12-11T00:00:00Z	NA	NA	Hohlstachlerartige	Coelacanthes	Celacantiformi	NA	Celacantos	Coelacanths	NA	NA	???????????????	&#922;&#945;&#953;&#955;&#945;&#954;&#945;&#957;&#952;&#972;&#956;&#959;&#961;&#966;&#945;	&#1094;&#1077;&#1083;&#1072;&#1082;&#1072;&#1085;&#1090;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	?????????????????	tofsstjärtfiskar	&#1083;&#1086;&#1087;&#1072;&#1089;&#1090;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek sark, sarx = flesh + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
30	Cypriniformes	7463	11062	0	NA	carps	NA	-1	-1	-1	Mostly Freshwater	23	4517	Greek, kyprinos = goldfish + Latin, forma = shape. 1828 (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Cypriniformes.	NA	NA	NA	NA	Characiformes	150	30652	30657	late	Jurassic	NA	NA	0	Kinethmoid present (a median bone between ascending processes of premaxillae); palatine articulating in a socket of the endoptrygoid; fifth ceratobranchial (the pharyngeal bone) enlarged, with teeth ankylosed to the bone (bound by collagenous fibers to the bone in other ostariophysans with teeth, pharyngeal teeth absent in gyrinocheilids); pharyngeal teeth opposed to enlarged posterior process of basioccipital bone (which encloses the dorsal aorta) rather than to upper pharyngeal elements, the basioccipital process against which the pharyngeal teeth press usually covered by a pad (toug horny pad in cyprinids, soft pad in catostomids); ascending process to premaxillae; upper jaw usually protractile; mouth (jaws and palate) always toothless; adipose fin absent (except in some cobitoids); head almost always scaleless; branchiostegal rays three; spinelike rays in dorsal fin of some species.  

