"","Binomial","elton_BodyMass.Value_g","Trophic_Level","pantheria_AdultBodyMass_g","pantheria_TrophicLevel","pantheria_GestationLen_d","pantheria_MaxLongevity_m","amniota_adult_body_mass_g","amniota_gestation_d","amniota_maximum_longevity_y","diet2_TrophicLevel","Wild"
"51","Pagophilus_groenlandicus",132250,"Carnivores",132250,2,242.9,504,141125,242.9,42,NA,"Wild"
"52","Phoca_vitulina",1e+05,"Carnivores",87316.66,3,288.95,480,94283.33,253.5703,47.6,NA,"Wild"
"53","Pusa_hispida",70963.6,"Carnivores",70963.6,2,270,552,88070,251,46,NA,"Wild"
"54","Mustela_erminea",119.38,"Carnivores",284.5,3,66.35,85.23,110.33,43.26174,12.5,"Carnivore","Wild"
"55","Mustela_frenata",147,"Carnivores",190.03,3,24.5,85.23,170.315,24.95752,8.8,"Carnivore","Wild"
"56","Gulo_gulo",17012.56,"Omnivores",12792.49,3,161.73,216,12792.49,51.4381075,19.5,"Omnivore","Wild"
"57","Martes_pennanti",4000,"Carnivores",3750,3,31.28,121.76,3175,40.47988,14.3,"Carnivore",NA
"58","Martes_americana",1250,"Omnivores",873.69,3,27.63,228,892,28,19,"Omnivore","Wild"
"59","Neovison_vison",1150,"Carnivores",NA,NA,NA,NA,899.75,36.220625,11.4,"Carnivore",NA
"60","Enhydra_lutris",23500,"Carnivores",27410.93,2,238,360,943.25,216.0956,30,"Carnivore","Wild"
"61","Lontra_canadensis",8087.42,"Carnivores",8087.42,3,58.4,300,8087.42,61.17636,27,"Carnivore","Wild"
"62","Ursus_americanus",99949.36,"Omnivores",110500,1,213.95,384,132405,91.008125,34,"Omnivore","Wild"
"63","Ursus_arctos",180520.42,"Omnivores",196287.5,2,227.56,600,240500,103,50,"Omnivore","Wild"
"64","Ursus_maritimus",388750.36,"Carnivores",371703.81,2,64.66,458.4,371703.81,147.4159375,45,"Omnivore","Wild"
"65","Eumetopias_jubatus",310000,"Carnivores",382466.74,2,342.1,360,382466.74,308.05,32.8,NA,"Wild"
"66","Mephitis_mephitis",2085.02,"Omnivores",2399.99,2,63.29,155,2949.995,63,13.9,"Omnivore","Wild"
"67","Procyon_lotor",5524.97,"Omnivores",6373.72,2,65,252,5075,63.91434,21,"Omnivore","Wild"
"68","Bison_bison",579255.28,"Herbivores",624577.07,1,283.17,396,624577.07,274,33.5,"Herbivore",NA
"69","Ovis_canadensis",74644.88,"Herbivores",74644.87,1,177.49,288,69125,180,24,"Herbivore","Wild"
"70","Ovis_dalli",55650.62,"Herbivores",70194.13,1,172.49,192,70194.13,175.245,24,"Herbivore","Wild"
"71","Alces_americanus",541460.44,"Herbivores",541460.44,1,245,300,368500,241.978125,27,"Herbivore","Wild"
"72","Odocoileus_hemionus",54212.57,"Herbivores",84560.57,1,203.49,264,57000,207,22,"Herbivore","Wild"
"73","Odocoileus_virginianus",55508.56,"Herbivores",75901.25,1,201.39,276,65320,201.39,23,"Herbivore","Wild"
"74","Rangifer_tarandus",86033.98,"Herbivores",109088.5,1,222.5,242.4,101250,222.5,21.7,"Herbivore","Wild"
"75","Cervus_elaphus",165015.85,"Herbivores",240867.13,1,235.61,321.6,160166.665,244.40108,31.5,"Herbivore",NA
"76","Antilocapra_americana",46082.92,"Herbivores",47450.01,1,247.99,144,45375,247.44468,15.5,"Herbivore","Wild"
"77","Balaena_mysticetus",1e+08,"Carnivores",79691178.99,3,379.9,480,8e+07,379.9,211,NA,"Wild"
"78","Eubalaena_glacialis",2.3e+07,"Carnivores",22999999.91,3,345.96,NA,2.3e+07,347.98,67,NA,"Wild"
"79","Balaenoptera_physalus",7e+07,"Carnivores",47506008.23,3,338.36,1392,38800000,342,116,NA,"Wild"
"80","Balaenoptera_acutorostrata",1e+07,"Carnivores",5587093.59,3,304.16,600,7500000,306.6127,50,NA,"Wild"
"81","Balaenoptera_musculus",1.9e+08,"Carnivores",154321304.5,3,326.97,1320,1.49e+08,326.97,110,NA,"Wild"
"82","Megaptera_novaeangliae",3e+07,"Carnivores",30000000.01,3,349.79,1140,3e+07,348.83674,95,NA,"Wild"
"83","Eschrichtius_robustus",28500000,"Carnivores",27324024.19,2,379.9,924,27300000,379.9,77,NA,"Wild"
"84","Delphinus_delphis",80000,"Carnivores",79271.69,NA,296.89,240,77818.345,296.89,29.025,NA,"Wild"
"85","Globicephala_melas",8e+05,"Carnivores",8e+05,3,479.06,540,1060000,453.4514,60,NA,"Wild"
"86","Lagenorhynchus_obliquidens",120000,"Carnivores",109694.46,3,319.01,300,103000,319.01,46,NA,"Wild"
"87","Lagenorhynchus_acutus",182000,"Carnivores",186517.55,3,319.37,324,186517.55,319.37,27,NA,"Wild"
"88","Orcinus_orca",4300000,"Carnivores",5628758.66,3,456.25,1200,4300000,454.72102,100,NA,"Wild"
"89","Delphinapterus_leucas",1360000,"Carnivores",1381640.73,3,394.24,480,1380000,409.05984,40,NA,"Wild"
"90","Monodon_monoceros",9e+05,"Carnivores",938126.44,3,441.04,480,938126.44,450,50,NA,"Wild"
"91","Phocoena_phocoena",52500,"Carnivores",52730.93,3,333.28,180,52730.93,307.013125,20.4,NA,"Wild"
"92","Phocoenoides_dalli",102500,"Carnivores",106042.53,3,346.74,264,106042.53,346.74,22,NA,"Wild"
"93","Hyperoodon_ampullatus",5800000,"Carnivores",3393361.08,3,365,444,5350000,365,37,NA,"Wild"
"94","Mesoplodon_bidens",3400000,"Carnivores",3400000,NA,365,NA,2350000,365.232,NA,NA,"Wild"
"95","Spermophilus_franklinii",363,"Omnivores",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Spermophilus_columbianus",493,"Omnivores",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Spermophilus_parryii",759.99,"Omnivores",NA,NA,NA,NA,NA,NA,NA,NA,NA
