"","Binomial","BodySize","TrophicLevel","LifeSpan","lpi"
"90","Myotis_leibii",5.13,"carnivore",12,"C-vertebrates"
"91","Myotis_lucifugus",7.65,"carnivore",34,"C-LPI"
"92","Myotis_septentrionalis",7.74,"carnivore",19,"C-LPI"
"93","Myotis_thysanodes",8.13,"carnivore",18.3,"C-vertebrates"
"94","Myotis_volans",8.46,"carnivore",21,"C-vertebrates"
"95","Myotis_yumanensis",5.39,"carnivore",14,"C-vertebrates"
"96","Perimyotis_subflavus",5.76,"carnivore",15,"C-vertebrates"
"97","Didelphis_virginiana",2195.48,"omnivore",7,"C-vertebrates"
"98","Lepus_americanus",1710.02,"herbivore",8,"C-LPI"
"99","Lepus_arcticus",4405.04,"omnivore",18,"C-LPI"
"100","Lepus_townsendii",1555,"herbivore",8,"C-vertebrates"
"101","Sylvilagus_floridanus",1172.79,"herbivore",9.8,"C-vertebrates"
"102","Sylvilagus_nuttallii",755.09,"herbivore",7.4,"C-LPI"
"103","Ochotona_collaris",129,"herbivore",6,"C-LPI"
"104","Ochotona_princeps",157.63,"herbivore",7.316666667,"C-vertebrates"
"105","Aplodontia_rufa",1003.99,"herbivore",10,"C-vertebrates"
"106","Castor_canadensis",21820,"herbivore",23.4,"C-LPI"
"107","Dicrostonyx_groenlandicus",54.4,"herbivore",3.3,"C-LPI"
"108","Dicrostonyx_hudsonius",57,"herbivore",0.666666667,"C-vertebrates"
"109","Dicrostonyx_nunatakensis",60.82,"herbivore",3.3,"C-vertebrates"
"110","Dicrostonyx_richardsoni",55,"herbivore",3.3,"C-vertebrates"
"111","Lemmiscus_curtatus",28.27,"herbivore",NA,"C-vertebrates"
"112","Lemmus_trimucronatus",69.82,"herbivore",1.666666667,"C-LPI"
"113","Microtus_chrotorrhinus",39,"herbivore",NA,"C-vertebrates"
"114","Microtus_longicaudus",46.71,"herbivore",1.166666667,"C-LPI"
"115","Microtus_miurus",41,"herbivore",2.141666667,"C-vertebrates"
"116","Microtus_montanus",36.33,"herbivore",NA,"C-LPI"
"117","Microtus_ochrogaster",38.01,"herbivore",5.325,"C-vertebrates"
"118","Microtus_oeconomus",34.38,"herbivore",2.166666667,"C-LPI"
"119","Microtus_oregoni",20.35,"herbivore",1.25,"C-vertebrates"
"120","Microtus_pennsylvanicus",36.75,"herbivore",2.908333333,"C-LPI"
"121","Microtus_pinetorum",26.28,"herbivore",3.825,"C-vertebrates"
"122","Microtus_richardsoni",85,"herbivore",1.5,"C-vertebrates"
"123","Microtus_townsendii",64.75,"herbivore",NA,"C-LPI"
"124","Microtus_xanthognathus",125.75,"herbivore",NA,"C-vertebrates"
"125","Myodes_gapperi",19.83,"omnivore",2.408333333,"C-LPI"
"126","Myodes_rutilus",19.94,"omnivore",NA,"C-LPI"
"127","Neotoma_cinerea",299.15,"omnivore",5.825,"C-vertebrates"
"128","Ondatra_zibethicus",1065.75,"omnivore",10,"C-vertebrates"
"129","Onychomys_leucogaster",27.92,"omnivore",5.6,"C-vertebrates"
"130","Peromyscus_keeni",28.25,"omnivore",8.333333333,"C-vertebrates"
"131","Peromyscus_leucopus",21.17,"omnivore",8,"C-LPI"
"132","Peromyscus_maniculatus",21.28,"omnivore",8.333333333,"C-LPI"
"133","Phenacomys_intermedius",25.2,"herbivore",4,"C-LPI"
"134","Phenacomys_ungava",32.5,"herbivore",4,"C-vertebrates"
"135","Reithrodontomys_megalotis",9.37,"herbivore",3.575,"C-LPI"
"136","Synaptomys_borealis",21.3,"omnivore",NA,"C-vertebrates"
"137","Synaptomys_cooperi",31.92,"omnivore",2.5,"C-vertebrates"
"138","Napaeozapus_insignis",22.3,"omnivore",4,"C-LPI"
"139","Zapus_hudsonius",17.12,"omnivore",5.6,"C-LPI"
"140","Zapus_princeps",29,"omnivore",6,"C-LPI"
"141","Zapus_trinotatus",27.5,"omnivore",6,"C-vertebrates"
"142","Erethizon_dorsatum",7085.33,"herbivore",NA,"C-LPI"
"143","Geomys_bursarius",203.75,"herbivore",12,"C-vertebrates"
"144","Thomomys_talpoides",130.08,"herbivore",6,"C-vertebrates"
"145","Dipodomys_ordii",60.4,"omnivore",9.9,"C-LPI"
"146","Perognathus_fasciatus",11.55,"omnivore",NA,"C-vertebrates"
