"","Binomial","BodySize","LifeSpan","TrophicLevel","lpi"
"93","Leucophaeus_pipixcan",280,9.416666667,"omnivore","C-vertebrates"
"94","Pagophila_eburnea",550,23.91666667,"omnivore","C-LPI"
"95","Rhodostethia_rosea",187,NA,"carnivore","C-LPI"
"96","Rissa_tridactyla",407.75,28.5,"omnivore","C-LPI"
"97","Sterna_dougallii",112,25.7,"carnivore","C-LPI"
"98","Sterna_forsteri",150,15.83333333,"carnivore","C-LPI"
"99","Sterna_hirundo",124,33,"carnivore","C-LPI"
"100","Sterna_paradisaea",110,34,"carnivore","C-LPI"
"101","Xema_sabini",195,8.083333333,"omnivore","C-LPI"
"102","Himantopus_mexicanus",169,19.1,"carnivore","C-LPI"
"103","Recurvirostra_americana",309.25,15,"carnivore","C-LPI"
"104","Actitis_macularius",41.85833333,12,"carnivore","C-LPI"
"105","Arenaria_interpres",135,21.41666667,"carnivore","C-LPI"
"106","Arenaria_melanocephala",118.9,NA,"carnivore","C-LPI"
"107","Bartramia_longicauda",152.25,8.916666667,"carnivore","C-LPI"
"108","Calidris_acuminata",67.7,NA,"carnivore","C-vertebrates"
"109","Calidris_alba",55.55,18.58333333,"carnivore","C-LPI"
"110","Calidris_alpina",54.6,28.834,"carnivore","C-LPI"
"111","Calidris_bairdii",39.41666667,NA,"carnivore","C-LPI"
"112","Calidris_canutus",137.0666667,26.66666667,"carnivore","C-LPI"
"113","Calidris_fuscicollis",44.55,7,"carnivore","C-LPI"
"114","Calidris_himantopus",57.5,11.1,"carnivore","C-LPI"
"115","Calidris_maritima",69.475,20.75,"carnivore","C-LPI"
"116","Calidris_mauri",26.71666667,9.2,"carnivore","C-LPI"
"117","Calidris_melanotos",85,5.916666667,"carnivore","C-LPI"
"118","Calidris_minutilla",23.45,16,"carnivore","C-LPI"
"119","Calidris_ptilocnemis",79.65,7.34,"carnivore","C-LPI"
"120","Calidris_pusilla",26.36666667,19.3,"carnivore","C-LPI"
"121","Gallinago_delicata",116,18.2,NA,"C-LPI"
"122","Limnodromus_griseus",110.375,13.3,"carnivore","C-LPI"
"123","Limnodromus_scolopaceus",108.125,13.3,"carnivore","C-LPI"
"124","Limosa_fedoa",370.25,13.7,"carnivore","C-LPI"
"125","Limosa_haemastica",255.5,NA,"carnivore","C-LPI"
"126","Numenius_americanus",635.75,10,"carnivore","C-LPI"
"127","Numenius_borealis",368.5,NA,"carnivore","C-vertebrates"
"128","Numenius_phaeopus",383,16.1,"carnivore","C-LPI"
"129","Phalaropus_fulicarius",55.9,6.083333333,"carnivore","C-LPI"
"130","Phalaropus_lobatus",35,9.917,"carnivore","C-LPI"
"131","Phalaropus_tricolor",59.15,10,"carnivore","C-LPI"
"132","Scolopax_minor",196.25,20.9,"carnivore","C-LPI"
"133","Tringa_flavipes",81.7,4.8,"carnivore","C-LPI"
"134","Tringa_incana",111.25,NA,"carnivore","C-LPI"
"135","Tringa_melanoleuca",170,NA,"carnivore","C-LPI"
"136","Tringa_semipalmata",NA,NA,"carnivore","C-LPI"
"137","Tringa_solitaria",48.5,NA,"carnivore","C-LPI"
"138","Stercorarius_longicaudus",298,22,"carnivore","C-LPI"
"139","Stercorarius_maccormicki",1382.5,34.5,"carnivore","C-vertebrates"
"140","Stercorarius_parasiticus",450,31.1,"carnivore","C-LPI"
"141","Stercorarius_pomarinus",694,NA,"carnivore","C-LPI"
"142","Stercorarius_skua",1420.25,34.5,"carnivore","C-vertebrates"
"143","Ardea_alba",873.5,22.834,"carnivore","C-LPI"
"144","Ardea_herodias",2388.666667,24.5,"carnivore","C-LPI"
"145","Botaurus_lentiginosus",706,8.333333333,"carnivore","C-LPI"
"146","Bubulcus_ibis",372,23,"carnivore","C-vertebrates"
"147","Butorides_virescens",212,11.6,"carnivore","C-LPI"
"148","Egretta_thula",370,22.834,"omnivore","C-vertebrates"
"149","Ixobrychus_exilis",86.3,NA,"carnivore","C-LPI"
"150","Nycticorax_nycticorax",800,21.1,"carnivore","C-LPI"
"151","Plegadis_chihi",583.75,20.4,"carnivore","C-LPI"
"152","Patagioenas_fasciata",352.5,29.2,"herbivore","C-LPI"
"153","Zenaida_macroura",119,31.33333333,"herbivore","C-LPI"
"154","Megaceryle_alcyon",152.1666667,NA,"carnivore","C-LPI"
"155","Coccyzus_americanus",61,5,"carnivore","C-LPI"
"156","Coccyzus_erythropthalmus",49.57333333,5,"carnivore","C-LPI"
"157","Accipiter_cooperii",452,20.33333333,"carnivore","C-LPI"
"158","Accipiter_gentilis",988.75,22,"carnivore","C-LPI"
"159","Accipiter_striatus",138.5,19.9,"carnivore","C-LPI"
"160","Aquila_chrysaetos",4383,48,"carnivore","C-LPI"
"161","Buteo_jamaicensis",1126,30.66666667,"carnivore","C-LPI"
"162","Buteo_lagopus",945.5,18.8,"carnivore","C-LPI"
"163","Buteo_lineatus",616,22.41666667,"carnivore","C-LPI"
"164","Buteo_platypterus",437,18.33333333,"carnivore","C-LPI"
"165","Buteo_regalis",1469.5,23.7,"carnivore","C-LPI"
"166","Buteo_swainsoni",969.57,24.08333333,"carnivore","C-LPI"
"167","Circus_cyaneus",436.5,17.1,"carnivore","C-LPI"
"168","Haliaeetus_leucocephalus",4740,48,"carnivore","C-LPI"
"169","Pandion_haliaetus",1527.5,32,"carnivore","C-LPI"
"170","Cathartes_aura",1776,20.8,"carnivore","C-LPI"
"171","Falco_columbarius",187.575,16,"carnivore","C-LPI"
"172","Falco_mexicanus",754.5,20,"carnivore","C-LPI"
"173","Falco_peregrinus",827.25,25,"carnivore","C-LPI"
"174","Falco_rusticolus",1415.75,13.5,"carnivore","C-LPI"
"175","Falco_sparverius",115.5,17,"omnivore","C-LPI"
"176","Colinus_virginianus",173.3333333,6.416666667,"herbivore","C-LPI"
"177","Bonasa_umbellus",532,11,"herbivore","C-LPI"
"178","Centrocercus_urophasianus",1930,7,"herbivore","C-LPI"
"179","Dendragapus_fuliginosus",1059,14,"herbivore","C-LPI"
"180","Dendragapus_obscurus",1059,14,"herbivore","C-LPI"
"181","Falcipennis_canadensis",456,13,"herbivore","C-LPI"
"182","Lagopus_lagopus",595,9,"herbivore","C-LPI"
"183","Lagopus_leucura",351,15,"herbivore","C-LPI"
"184","Lagopus_muta",521,6.083333333,"herbivore","C-LPI"
"185","Meleagris_gallopavo",5811,13,"omnivore","C-LPI"
"186","Tympanuchus_phasianellus",851,7.5,"herbivore","C-LPI"
"187","Gavia_adamsii",5212.5,30,"carnivore","C-LPI"
"188","Gavia_immer",4400,24.08333333,"carnivore","C-LPI"
"189","Gavia_pacifica",2665,28,"carnivore","C-LPI"
"190","Gavia_stellata",1603,23.7,"carnivore","C-LPI"
"191","Grus_americana",6850,40,"carnivore","C-LPI"
"192","Grus_canadensis",4170,36.58333333,"omnivore","C-LPI"
"193","Coturnicops_noveboracensis",60.9,NA,"carnivore","C-LPI"
"194","Fulica_americana",620.5,22.33333333,"omnivore","C-LPI"
"195","Porzana_carolina",79.65,NA,"omnivore","C-LPI"
"196","Rallus_elegans",360.5,NA,"carnivore","C-vertebrates"
"197","Rallus_limicola",84.1,NA,"omnivore","C-LPI"
"198","Psaltriparus_minimus",5.3,9.083333333,"carnivore","C-LPI"
"199","Eremophila_alpestris",34.25,8,"omnivore","C-LPI"
"200","Bombycilla_cedrorum",32.04816667,12.66666667,"herbivore","C-LPI"
"201","Bombycilla_garrulus",54.45,13.5,"herbivore","C-LPI"
"202","Cardinalis_cardinalis",43.05,28.5,"omnivore","C-LPI"
"203","Passerina_amoena",15.15,9.916666667,"omnivore","C-LPI"
"204","Passerina_cyanea",14.7,11,"herbivore","C-LPI"
"205","Pheucticus_ludovicianus",45.1,24,"carnivore","C-LPI"
"206","Pheucticus_melanocephalus",45.55,25,"carnivore","C-LPI"
"207","Piranga_ludoviciana",30,15.3,"carnivore","C-LPI"
"208","Piranga_olivacea",28.825,11.91666667,"carnivore","C-LPI"
"209","Certhia_americana",9,8.166666667,"carnivore","C-LPI"
"210","Cinclus_mexicanus",55.9,7.25,"carnivore","C-LPI"
"211","Corvus_brachyrhynchos",453,20,"omnivore","C-LPI"
